Sl No,Txn Description,Credit Amount,Txn Date,Merchant Code,Batch Reference
1,NEFT CR-UNKNOWN SOURCE,"1,991.43",1781222400,M-C,BATCH913
2,NEFT CR-RAZORPAY SETTLEMENT,"13,643.91",1782518400,M-B,BATCH004
3,RTGS CREDIT RAZORPAY SOFTWARE,"14,138.30",1781654400,M-A,BATCH010
4,UPI-RAZORPAY-PAYOUT,"15,138.67",1782864000,M-A,BATCH003
5,ACH CR RZP SETTLEMENT BATCH,"12,030.57",1782777600,M-C,BATCH001
6,ACH CR RZP SETTLEMENT BATCH,"12,113.62",1782432000,M-A,BATCH002
7,ACH CR RZP SETTLEMENT BATCH,"12,009.64",1783382400,M-D,BATCH009
8,UPI-RAZORPAY-PAYOUT,"9,514.18",1782950400,M-C,BATCH005
9,NEFT CR-RAZORPAY SETTLEMENT,"15,299.92",1782086400,M-A,BATCH007
10,UPI-RAZORPAY-PAYOUT,"13,658.79",1782604800,M-C,BATCH008
