SettlementRef,Net Settled,Value Date,MID,Batch No,OrderRef
SET052,"1,801.07",2026/06/21,M-B,BATCH001,
SET016,"3,979.58",2026/06/13,M-D,BATCH001,REF-0015
SET037,"2,325.69",2026/06/11,M-B,BATCH001,REF-0035
SET034,"3,636.30",2026/06/25,M-B,BATCH001,REF-0033
SET027,287.93,2026/06/30,M-C,BATCH001,
SET021,251.67,2026/06/24,M-A,BATCH002,
SET051,"4,180.87",2026/06/01,M-A,BATCH002,
SET006,"1,196.80",2026/06/25,M-C,BATCH002,
SET032,"4,685.14",2026/06/10,M-B,BATCH002,
SET044,"1,799.14",2026/06/09,M-A,BATCH002,REF-0044
SET025,"3,101.31",2026/06/21,M-B,BATCH003,
SET015,"1,375.47",2026/06/25,M-C,BATCH003,
SET013,"4,549.31",2026/06/10,M-C,BATCH003,
SET033,"2,665.67",2026/07/01,M-B,BATCH003,
SET019,"3,446.91",2026/06/14,M-A,BATCH003,REF-0018
SET023,944.73,2026/06/26,M-A,BATCH004,
SET042,"2,225.75",2026/06/15,M-D,BATCH004,
SET014,"2,086.01",2026/06/06,M-D,BATCH004,REF-0013
SET018,"4,295.62",2026/06/24,M-B,BATCH004,REF-0017
SET030,"4,091.80",2026/06/10,M-B,BATCH004,
SET004,571.71,2026/07/01,M-B,BATCH005,REF-0004
SET038,347.43,2026/06/06,M-C,BATCH005,
SET043,"3,666.39",2026/06/03,M-A,BATCH005,
SET022,"3,731.85",2026/06/09,M-C,BATCH005,REF-0021
SET007,"1,196.80",2026/06/25,M-C,BATCH005,
SET031,"4,685.14",2026/06/10,M-B,BATCH006,
SET002,"4,143.60",2026/06/21,M-C,BATCH006,REF-0002
SET040,"3,188.44",2026/06/10,M-D,BATCH006,
SET026,"2,762.52",2026/06/22,M-A,BATCH006,REF-0026
SET049,"4,221.05",2026/06/15,M-B,BATCH006,
SET012,"4,014.83",2026/06/12,M-D,BATCH007,REF-0011
SET020,"4,523.48",2026/06/21,M-C,BATCH007,
SET039,"1,516.81",2026/06/10,M-D,BATCH007,
SET009,970.86,2026/06/12,M-D,BATCH007,
SET047,"4,273.94",2026/06/05,M-A,BATCH007,
SET041,"3,998.64",2026/06/05,M-B,BATCH008,REF-0041
SET045,"2,748.97",2026/06/17,M-B,BATCH008,REF-0045
SET024,"1,451.71",2026/06/19,M-B,BATCH008,
SET003,528.91,2026/06/28,M-B,BATCH008,REF-0003
SET035,"4,930.56",2026/06/17,M-C,BATCH008,
SET010,"3,252.65",2026/06/24,M-B,BATCH009,REF-0009
SET005,"1,511.37",2026/06/08,M-C,BATCH009,REF-0005
SET008,"3,283.21",2026/06/19,M-B,BATCH009,
SET001,"2,744.25",2026/06/05,M-D,BATCH009,
SET050,"1,218.16",2026/07/06,M-D,BATCH009,REF-0050
SET028,"4,051.59",2026/06/05,M-B,BATCH010,REF-0028
SET046,"2,400.86",2026/06/17,M-A,BATCH010,
SET036,"4,930.56",2026/06/17,M-C,BATCH010,
SET029,"2,864.91",2026/06/04,M-A,BATCH010,
SET048,"2,745.09",2026/06/06,M-A,BATCH010,
SET011,"3,865.14",2026/06/11,M-A,BATCH011,
SET017,"4,537.36",2026/06/06,M-D,BATCH011,
