Txn ID,Amount,Txn Date,Merchant Code,Ref
INT001,"₹2,773.89",03-06-2026,M-D,
INT002,"₹4,181.14",19-06-2026,M-C,REF-0002
INT003,₹533.86,25-06-2026,M-B,REF-0003
INT004,₹583.00,28-06-2026,M-B,REF-0004
INT005,"₹1,534.27",06-06-2026,M-C,REF-0005
INT006,"₹1,205.63",23-06-2026,M-C,
INT007,"₹3,310.57",18-06-2026,M-B,
INT008,₹984.33,09-06-2026,M-D,
INT009,"₹3,272.00",22-06-2026,M-B,REF-0009
INT010,"₹3,887.91",08-06-2026,M-A,
INT011,"₹4,064.22",09-06-2026,M-D,REF-0011
INT012,"₹4,583.05",07-06-2026,M-C,
INT013,"₹2,099.03",05-06-2026,M-D,REF-0013
INT014,"₹1,383.81",24-06-2026,M-C,
INT015,"₹4,509.55",12-06-2026,M-D,REF-0015
INT016,"₹4,988.18",03-06-2026,M-D,
INT017,"₹4,333.29",21-06-2026,M-B,REF-0017
INT018,"₹3,466.31",13-06-2026,M-A,REF-0018
INT019,"₹4,981.38",18-06-2026,M-C,
INT020,₹255.11,22-06-2026,M-A,
INT021,"₹3,804.21",04-06-2026,M-C,REF-0021
INT022,₹959.16,24-06-2026,M-A,
INT023,"₹1,464.27",17-06-2026,M-B,
INT024,"₹4,378.49",27-06-2026,M-C,
INT025,"₹3,123.06",12-06-2026,M-B,
INT026,"₹2,789.02",20-06-2026,M-A,REF-0026
INT027,₹293.49,29-06-2026,M-C,
INT028,"₹4,072.52",02-06-2026,M-B,REF-0028
INT029,"₹2,923.31",03-06-2026,M-A,
INT030,"₹4,116.91",05-06-2026,M-B,
INT031,"₹4,744.87",09-06-2026,M-B,
INT032,"₹3,111.65",30-06-2026,M-B,
INT033,"₹3,703.67",23-06-2026,M-B,REF-0033
INT034,"₹4,976.72",15-06-2026,M-C,
INT035,"₹2,367.13",08-06-2026,M-B,REF-0035
INT036,₹300.96,19-06-2026,M-B,REF-0036
INT037,₹540.77,08-06-2026,M-A,REF-0037
INT038,₹350.78,03-06-2026,M-C,
INT039,"₹1,536.69",07-06-2026,M-D,
INT040,"₹3,672.09",08-06-2026,M-D,
INT041,"₹4,075.99",04-06-2026,M-B,REF-0041
INT042,"₹2,269.05",14-06-2026,M-D,
INT043,"₹3,699.56",02-06-2026,M-A,
INT044,"₹1,828.65",08-06-2026,M-A,REF-0044
INT045,"₹2,774.17",14-06-2026,M-B,REF-0045
INT046,"₹2,420.61",15-06-2026,M-A,
INT047,"₹4,308.64",02-06-2026,M-A,
INT048,"₹2,794.82",03-06-2026,M-A,
INT049,"₹4,273.74",14-06-2026,M-B,
INT050,"₹1,225.99",29-06-2026,M-D,REF-0050
